Temp,Ethanol Concentration Relative to CO
176.8481,663.3489165490736
176.8945,663.3489165490736
176.8788,663.3489165490736
176.7941,663.3489165490736
176.7974,663.3489165490736
176.8505,663.3489165490736
176.9009,663.3489165490736
176.9665,663.3489165490736
176.9055,663.3489165490736
176.8099,663.3489165490736
176.8533,663.3489165490736
176.9335,663.3489165490736
176.881,663.3489165490736
176.8105,663.3489165490736
176.8207,663.3489165490736
176.7429,663.3489165490736
176.7739,663.3489165490736
176.8874,663.3489165490736
176.8942,663.3489165490736
176.8326,663.3489165490736
176.8189,663.3489165490736
176.8509,663.3489165490736
176.8443,663.3489165490736
176.9281,663.3489165490736
176.9268,663.3489165490736
176.8664,663.3489165490736
176.914,663.3489165490736
176.883,663.3489165490736
176.9234,663.3489165490736
176.8343,663.3489165490736
176.8869,663.3489165490736
176.8666,663.3489165490736
176.8004,663.3489165490736
176.889,663.3489165490736
177.0114,663.3489165490736
176.8458,663.3489165490736
176.9231,663.3489165490736
176.9848,663.3489165490736
177.0193,663.3489165490736
177.032,663.3489165490736
176.9611,663.3489165490736
176.8494,663.3489165490736
176.9185,663.3489165490736
176.8734,663.3489165490736
176.9646,663.3489165490736
176.9394,663.3489165490736
176.8496,663.3489165490736
176.9133,663.3489165490736
176.7969,663.3489165490736
176.792,663.3489165490736
176.7845,663.3489165490736
176.8007,663.3489165490736
176.9141,663.3489165490736
176.8142,663.3489165490736
176.7997,663.3489165490736
176.7839,663.3489165490736
176.8388,663.3489165490736
176.9101,663.3489165490736
177.0272,663.3489165490736
177.0201,663.3489165490736
176.969,663.3489165490736
177.0026,663.3489165490736
176.9059,663.3489165490736
176.8848,663.3489165490736
176.8855,663.3489165490736
176.9602,663.3489165490736
177.023,663.3489165490736
176.9497,663.3489165490736
176.8147,663.3489165490736
176.8542,663.3489165490736
176.9009,663.3489165490736
176.9337,663.3489165490736
176.8691,663.3489165490736
176.9353,663.3489165490736
176.9734,663.3489165490736
176.9555,663.3489165490736
176.8202,663.3489165490736
176.9251,663.3489165490736
176.8746,663.3489165490736
177.0054,663.3489165490736
177.0023,663.3489165490736
177.0163,663.3489165490736
177.1247,663.3489165490737
177.248,663.3489165490737
177.2921,663.3489165490737
177.5623,663.3489165490737
177.7207,663.3489165490734
177.9972,663.3489165490734
178.29,663.3489165490734
178.6543,663.3489165490736
179.0592,663.3489165490736
179.3064,663.3489165490736
179.7101,663.3489165490734
180.1774,663.3489165490736
180.5681,663.3489165490736
180.8962,663.3489165490736
181.384,663.3489165490736
181.8506,663.3489165490735
182.297,663.3489165490735
182.8438,663.3489165490732
183.2631,663.3489165490738
183.6243,663.348916549073
184.0933,663.3489165490732
184.5898,663.3489165490736
185.0357,663.3489165490734
185.4777,663.3489165490735
185.9069,663.3489165490735
186.4914,663.348916549073
187.0203,663.3489165490734
187.6229,663.348916549073
188.1595,663.3489165490735
188.6697,663.3489165490734
189.3571,663.348916549073
189.9038,663.3489165490736
190.5653,663.348916549073
191.2235,663.348916549073
191.9041,663.3489165490736
192.46,663.3489165490736
193.0445,663.348916549073
193.7611,663.3489165490736
194.4817,663.3489165490736
195.1538,663.3489165490735
195.7753,663.3489165490734
196.417,663.3489165490735
197.0638,663.3489165490735
197.6513,663.3489165490734
198.3369,663.348916549073
199.1706,663.3489165490736
199.7659,663.3489165490734
