Source:	Measured	 Measured	 Measured	 NIST_TuningCorrected
Molecules	ethyne	 ethene	 ethane	 1butanal
Electron Numbers	14	16	18	40
ionizationEfficiencies	1	1.085714286	1.171428571	2.114285714
ionizationEfficienciesSources	MadixAndKo	 MadixAndKo	 MadixAndKo	 MadixAndKo
Molecular Mass	26.04	28.05	30.07	72.11
1.20E+01	2.15E+00	1.47E+00	5.09E-01	1.75E-01
1.30E+01	6.62E+00	2.49E+00	1.07E+00	5.67E-01
1.40E+01	3.36E-01	5.25E+00	3.82E+00	3.21E+00
1.50E+01	2.23E-02	5.23E-01	5.62E+00	1.14E+01
1.60E+01	4.83E-02	1.12E-01	1.23E-01	4.37E-01
1.70E+01	3.52E-01	1.76E-01	4.35E-02	6.72E-01
1.80E+01	0.00E+00	0.00E+00	0.00E+00	3.42E+00
1.90E+01	0.00E+00	0.00E+00	0.00E+00	4.59E-01
2.00E+01	0.00E+00	0.00E+00	0.00E+00	2.29E-01
2.10E+01	-8.45E-05	-3.39E-04	2.60E-03	0.00E+00
2.20E+01	2.23E-03	5.48E-04	2.34E-03	0.00E+00
2.40E+01	6.28E+00	3.25E+00	7.42E-01	0.00E+00
2.50E+01	2.21E+01	1.00E+01	3.72E+00	0.00E+00
2.60E+01	1.00E+02	6.08E+01	2.26E+01	1.16E+01
2.70E+01	2.08E+00	6.20E+01	3.23E+01	1.00E+02
2.80E+01	1.01E+00	1.00E+02	1.00E+02	2.28E+01
2.90E+01	1.40E-02	2.03E+00	2.13E+01	7.24E+01
3.00E+01	3.34E-03	1.82E-02	2.10E+01	1.36E+00
3.10E+01	0.00E+00	0.00E+00	0.00E+00	2.55E+00
