Source:	NIST	 NIST	 NIST
Molecules	ethene	 ethane	 ethyne
Electron Numbers	16	18	14
Molecular Mass	28.05	30.07	26.0373
2.00E+00	2.11E-01	4.22E-01	0.00E+00
1.20E+01	2.63E-01	2.11E-01	4.99E-01
1.30E+01	4.03E-01	4.47E-01	1.94E+00
1.40E+01	8.04E-01	1.15E+00	5.19E-02
1.50E+01	9.99E-02	1.47E+00	0.00E+00
1.60E+01	0.00E+00	2.98E-02	0.00E+00
2.40E+01	1.23E+00	2.67E-01	3.62E+00
2.50E+01	4.91E+00	2.20E+00	1.63E+01
2.60E+01	3.91E+01	1.71E+01	1.00E+02
2.70E+01	5.38E+01	2.86E+01	2.57E+00
2.80E+01	1.00E+02	1.00E+02	1.35E-01
2.90E+01	2.65E+00	2.48E+01	0.00E+00
3.00E+01	1.32E-01	3.46E+01	0.00E+00
3.10E+01	0.00E+00	7.51E-01	0.00E+00
