Temp,H2O Concentration(bar)
176.8481,0.0029208064202579545
176.8945,0.002922909337143675
176.8788,0.0029221977898353617
176.7941,0.0029183590600892263
176.7974,0.002918508620988429
176.8505,0.0029209151918210097
176.9009,0.0029231993946451543
176.9665,0.0029261724840353104
176.9055,0.0029234078734743404
176.8099,0.0029190751395460025
176.8533,0.0029210420919779053
176.9335,0.002924676875043311
176.881,0.002922297497101493
176.8105,0.0029191023324367667
176.8207,0.0029195646115797486
176.7429,0.0029160386000773976
176.7739,0.002917443566100186
176.8874,0.002922587554602972
176.8942,0.002922895740698293
176.8326,0.002920103937246561
176.8189,0.0029194830329074594
176.8509,0.0029209333204148523
176.8443,0.002920634198616451
176.9281,0.002924432139026438
176.9268,0.0029243732210964507
176.8664,0.002921635803426245
176.914,0.002923793106093492
176.883,0.0029223881400707056
176.9234,0.002924219128048789
176.8343,0.002920180983770391
176.8869,0.002922564893860669
176.8666,0.0029216448677231673
176.8004,0.0029186445854422448
176.889,0.0029226600689783422
177.0114,0.002928207418694123
176.8458,0.0029207021808433605
176.9231,0.0029242055316034076
176.9848,0.002927001867203601
177.0193,0.0029285654584225097
177.032,0.002929141041277007
176.9611,0.0029259277480184376
176.8494,0.0029208653381879424
176.9185,0.0029239970527742193
176.8734,0.002921953053818487
176.9646,0.0029260863732145587
176.9394,0.002924944271802487
176.8496,0.002920874402484864
176.9133,0.0029237613810542684
176.7969,0.002918485960246124
176.792,0.0029182638849715547
176.7845,0.0029179239738370095
176.8007,0.0029186581818876275
176.9141,0.002923797638241953
176.8142,0.00291927002192981
176.7997,0.002918612860403021
176.7839,0.0029178967809462453
176.8388,0.002920384930451117
176.9101,0.002923616352303529
177.0272,0.002928923498150897
177.0201,0.0029286017156101964
176.969,0.0029262857877468246
177.0026,0.0029278085896295883
176.9059,0.002923426002068185
176.8848,0.0029224697187429966
176.8855,0.0029225014437822203
176.9602,0.0029258869586822923
177.023,0.002928733147915553
176.9497,0.0029254110830939295
176.8147,0.002919292682672111
176.8542,0.0029210828813140506
176.9009,0.0029231993946451543
176.9337,0.0029246859393402313
176.8691,0.002921758171434681
176.9353,0.002924758453715602
176.9734,0.002926485202279093
176.9555,0.0029256739477046445
176.8202,0.002919541950837445
176.9251,0.002924296174572619
176.8746,0.0029220074396000134
177.0054,0.0029279354897864857
177.0023,0.0029277949931842072
177.0163,0.0029284294939686925
177.1247,0.0029331866962247354
177.248,0.002937678715477781
177.2921,0.0029392853501011337
177.5623,0.0029491291749362734
177.7207,0.002959023561365306
177.9972,0.0029710367531768323
178.29,0.0029763057651180556
178.6543,0.0029994742069015235
179.0592,0.0030052845474223566
179.3064,0.003014453617762028
179.7101,0.0030300910995357537
180.1774,0.003042617608783692
180.5681,0.003056548818776637
180.8962,0.003067465327069506
181.384,0.0030733985086435884
181.8506,0.0030932520267292303
182.297,0.003108276784550417
182.8438,0.003117258350011324
183.2631,0.003128412815018647
183.6243,0.0031300134153695405
184.0933,0.003163820043317714
184.5898,0.003167284249582277
185.0357,0.003173742830652499
185.4777,0.003176591988813677
185.9069,0.0031791966478107734
186.4914,0.0031861506574639405
187.0203,0.00318202189663451
187.6229,0.0031848823511754338
188.1595,0.003184960081058965
188.6697,0.003184118243334577
189.3571,0.0032083227814861553
189.9038,0.0032023158064401216
190.5653,0.0032074589353713995
191.2235,0.0031978491706358965
191.9041,0.003222324233583648
192.46,0.0032019746154900866
193.0445,0.0032294222393871586
193.7611,0.0032343313933201516
194.4817,0.0032369014765337807
195.1538,0.003242667132892342
195.7753,0.0032463692535011214
196.417,0.003254248462830093
197.0638,0.0032634593738263998
197.6513,0.0032731966612170363
198.3369,0.0032947157038513437
199.1706,0.003320957554001134
199.7659,0.0033740154058823353
