Temp,H2O Concentration Relative to CO
176.8481,579.410688583569
176.8945,579.410688583569
176.8788,579.410688583569
176.7941,579.410688583569
176.7974,579.410688583569
176.8505,579.410688583569
176.9009,579.410688583569
176.9665,579.410688583569
176.9055,579.410688583569
176.8099,579.410688583569
176.8533,579.410688583569
176.9335,579.410688583569
176.881,579.410688583569
176.8105,579.410688583569
176.8207,579.410688583569
176.7429,579.410688583569
176.7739,579.410688583569
176.8874,579.410688583569
176.8942,579.410688583569
176.8326,579.410688583569
176.8189,579.410688583569
176.8509,579.410688583569
176.8443,579.410688583569
176.9281,579.410688583569
176.9268,579.410688583569
176.8664,579.410688583569
176.914,579.410688583569
176.883,579.410688583569
176.9234,579.410688583569
176.8343,579.410688583569
176.8869,579.410688583569
176.8666,579.410688583569
176.8004,579.410688583569
176.889,579.410688583569
177.0114,579.410688583569
176.8458,579.410688583569
176.9231,579.410688583569
176.9848,579.410688583569
177.0193,579.410688583569
177.032,579.410688583569
176.9611,579.410688583569
176.8494,579.410688583569
176.9185,579.410688583569
176.8734,579.410688583569
176.9646,579.410688583569
176.9394,579.410688583569
176.8496,579.410688583569
176.9133,579.410688583569
176.7969,579.410688583569
176.792,579.410688583569
176.7845,579.410688583569
176.8007,579.410688583569
176.9141,579.410688583569
176.8142,579.410688583569
176.7997,579.410688583569
176.7839,579.410688583569
176.8388,579.410688583569
176.9101,579.410688583569
177.0272,579.410688583569
177.0201,579.410688583569
176.969,579.410688583569
177.0026,579.410688583569
176.9059,579.410688583569
176.8848,579.410688583569
176.8855,579.410688583569
176.9602,579.410688583569
177.023,579.410688583569
176.9497,579.410688583569
176.8147,579.410688583569
176.8542,579.410688583569
176.9009,579.410688583569
176.9337,579.410688583569
176.8691,579.410688583569
176.9353,579.410688583569
176.9734,579.410688583569
176.9555,579.410688583569
176.8202,579.410688583569
176.9251,579.410688583569
176.8746,579.410688583569
177.0054,579.410688583569
177.0023,579.410688583569
177.0163,579.410688583569
177.1247,579.4106885835689
177.248,579.4106885835689
177.2921,579.4106885835689
177.5623,579.4106885835689
177.7207,579.4106885835688
177.9972,579.4106885835688
178.29,579.4106885835687
178.6543,579.4106885835688
179.0592,579.4106885835686
179.3064,579.4106885835686
179.7101,579.4106885835687
180.1774,579.4106885835688
180.5681,579.4106885835688
180.8962,579.4106885835689
181.384,579.4106885835688
181.8506,579.4106885835688
182.297,579.4106885835688
182.8438,579.4106885835686
183.2631,579.4106885835689
183.6243,579.4106885835685
184.0933,579.4106885835686
184.5898,579.4106885835686
185.0357,579.4106885835687
185.4777,579.4106885835688
185.9069,579.4106885835688
186.4914,579.4106885835685
187.0203,579.4106885835687
187.6229,579.4106885835685
188.1595,579.4106885835688
188.6697,579.4106885835687
189.3571,579.4106885835683
189.9038,579.4106885835688
190.5653,579.4106885835685
191.2235,579.4106885835685
191.9041,579.4106885835688
192.46,579.4106885835688
193.0445,579.4106885835685
193.7611,579.4106885835689
194.4817,579.4106885835688
195.1538,579.4106885835688
195.7753,579.4106885835687
196.417,579.4106885835688
197.0638,579.4106885835688
197.6513,579.4106885835687
198.3369,579.4106885835685
199.1706,579.4106885835688
199.7659,579.4106885835686
