Source:,NIST,NIST,NIST,NIST
Molecules,ethene,ethane,ethyne,1butanal
Electron Numbers,16,18,14,40
Molecular Mass,28.05,30.07,26.0373,72.11
1,0,0,0,0
2,10,20,0,0
12,50,40,70,10
13,90,100,320,30
14,210,300,10,160
15,30,440,0,540
16,0,10,0,20
17,0,0,0,30
18,0,0,0,150
19,0,0,0,20
20,0,0,0,10
21,0,0,0,0
22,0,0,0,0
24,230,50,500,0
25,781,350,1912,0
26,5295,2322,9999,631
27,6236,3323,220,5895
28,9999,9999,10,1491
29,230,2152,0,5385
30,10,2622,0,120
31,0,50,0,280
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
36,0,0,0,30
37,0,0,0,270
38,0,0,0,460
39,0,0,0,2312
40,0,0,0,300
41,0,0,0,6055
42,0,0,0,1191
43,0,0,0,7867
44,0,0,0,9999
45,0,0,0,350
46,0,0,0,40
47,0,0,0,0
48,0,0,0,10
49,0,0,0,50
50,0,0,0,120
51,0,0,0,80
52,0,0,0,20
53,0,0,0,250
54,0,0,0,230
55,0,0,0,300
56,0,0,0,40
57,0,0,0,2582
58,0,0,0,110
59,0,0,0,10
60,0,0,0,100
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,10
69,0,0,0,60
70,0,0,0,20
71,0,0,0,721
72,0,0,0,7347
73,0,0,0,470
74,0,0,0,30
75,0,0,0,10
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
