Source:,NIST,NIST,NIST
Molecules,2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),13butadiene
Electron Numbers,40,38,30
Molecular Mass,72.11,70.09,54.09
1,0,0,0
2,0,0,10
12,27,0,40
13,54,0,30
14,226,0,50
15,604,0,30
16,54,0,10
17,61,0,0
18,66,0,0
19,70,0,10
21,0,0,0
24,30,0,20
25,202,500,250
26,1087,1800,1541
27,4090,4900,4944
28,1414,0,3413
29,7263,3900,80
30,372,200,0
31,2899,200,0
32,126,0,0
33,0,100,0
34,26,0,0
36,108,400,90
37,681,1800,440
38,1208,2900,581
39,5234,9700,9999
40,725,2700,350
41,3119,9999,20
42,813,3000,0
43,4112,400,0
44,1078,0,0
45,308,0,0
46,0,0,0
47,0,0,0
48,46,100,150
49,228,400,811
50,670,500,2682
51,598,400,2532
52,213,200,1141
53,1350,300,7086
54,913,100,9519
55,870,500,430
56,46,0,10
57,9999,0,0
58,324,0,0
59,34,0,0
60,0,0,0
61,0,0,0
66,0,100,0
67,0,100,0
68,32,500,0
69,181,6500,0
70,138,8200,0
71,696,800,0
72,2559,100,0
73,110,0,0
74,0,0,0
75,0,0,0
