Source:,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST
Molecules,2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),2buteneE,13butadiene,acetaldehyde,acetone,diethylether,ethanol
Electron Numbers,40,38,32,30,24,32,42,26
Molecular Mass,72.11,70.09,56.1063,54.09,44.05,58.08,74.12,46.07
1,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
2,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
12,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
13,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
14,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
15,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
16,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
17,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
18,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
19,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
21,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
24,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
25,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
26,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
27,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
28,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
29,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
30,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
31,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
32,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
33,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
34,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
36,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
37,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
38,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
39,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
40,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
41,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
42,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
43,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
44,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
45,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
46,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
47,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
48,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
49,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
50,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
51,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
52,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
53,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
54,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
55,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
56,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
57,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
58,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
59,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
60,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
61,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
66,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
67,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
68,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
69,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
70,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
71,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
72,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
73,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
74,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
75,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
